"Count";"NC_Id";"Species";"Domain";"Realm";"Phylum";"Subphylum";"Class";"Order";"Suborder";"Family";"Subfamily";"Genus"
2073;"NC_005348.1";"Tomato leaf curl Mali virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2074;"NC_007548.1";"Adult diarrheal rotavirus strain J19";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Reoviridae";"Sedoreovirinae";"Rotavirus"
2075;"NC_012662.1";"Vibrio phage VP93";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";NA
2076;"NC_001940.1";"Feline leukemia virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Orthoretrovirinae";"Gammaretrovirus"
2077;"NC_005138.1";"Lily symptomless virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Betaflexiviridae";"Quinvirinae";"Carlavirus"
2078;"NC_005336.1";"Orf virus";"Viruses";NA;NA;NA;NA;NA;NA;"Poxviridae";"Chordopoxvirinae";"Parapoxvirus"
2079;"NC_001450.1";"Equine infectious anemia virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Orthoretrovirinae";"Lentivirus"
2080;"NC_006550.1";"Sweet potato chlorotic fleck virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Betaflexiviridae";"Quinvirinae";"Carlavirus"
2081;"NC_006065.1";"Humulus japonicus latent virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Bromoviridae";NA;"Ilarvirus"
2082;"NC_004284.1";"Junonia coenia densovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Densovirinae";NA
2083;"NC_014509.2";"Velvet tobacco mottle virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Solemoviridae";NA;"Sobemovirus"
2084;"NC_016033.1";"Soybean yellow common mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Solemoviridae";NA;"Sobemovirus"
2085;"NC_006066.1";"Humulus japonicus latent virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Bromoviridae";NA;"Ilarvirus"
2086;"NC_001623.1";"Autographa californica nucleopolyhedrovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;NA
2087;"NC_001839.2";"Petunia vein clearing virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Petuvirus"
2088;"NC_001728.1";"Odontoglossum ringspot virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Virgaviridae";NA;"Tobamovirus"
2089;"NC_001411.2";"Black beetle virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Nodaviridae";NA;"Alphanodavirus"
2090;"NC_001596.1";"Human papillomavirus type 9";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Alphapapillomavirus"
2091;"NC_020856.2";"Sulfitobacter phage pCB2047-C";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
2092;"NC_020858.2";"Sulfitobacter phage pCB2047-A";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
2093;"NC_020859.1";"Synechococcus phage S-RIM2 R1_1999";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
2094;"NC_014036.1";"Klebsiella phage KP15";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Slopekvirus"
2095;"NC_002077.1";"Adeno-associated virus - 1";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Parvovirinae";NA
2096;"NC_016652.1";"Rhodococcus phage REQ2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2097;"NC_004614.1";"Tomato leaf curl Bangladesh virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2098;"NC_014635.1";"Aeromonas phage phiAS4";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Tulanevirus"
2099;"NC_001583.1";"Human papillomavirus type 26";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Alphapapillomavirus"
2100;"NC_001586.1";"Human papillomavirus type 32";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Alphapapillomavirus"
2101;"NC_003084.1";"Culex nigripalpus NPV";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;NA
2102;"NC_003798.1";"Lucerne transient streak virus satellite RNA";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
2103;"NC_017089.1";"Halorubrum pleomorphic virus 6";"Viruses";NA;NA;NA;NA;NA;NA;"Pleolipoviridae";NA;NA
2104;"NC_003537.1";"Dasheen mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
2105;"NC_006941.1";"Cucumber vein yellowing virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Ipomovirus"
2106;"NC_016961.1";"Whataroa virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Togaviridae";NA;"Alphavirus"
2107;"NC_003790.1";"Chicken astrovirus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;NA
2108;"NC_001557.1";"Tobacco necrosis satellite virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;"Virtovirus"
2109;"NC_017685.1";"Obodhiang virus";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Rhabdoviridae";NA;"Ephemerovirus"
2110;"NC_003851.1";"Subterranean clover mottle virus satellite RNA";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
2111;"NC_000947.1";"Japanese yam mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
2112;"NC_001270.2";"Spiroplasma phage SVTS2";"Viruses";NA;NA;NA;NA;NA;NA;"Inoviridae";NA;NA
2113;"NC_002552.1";"Hop latent virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Betaflexiviridae";"Quinvirinae";"Carlavirus"
2114;"NC_011051.1";"Capreolus capreolus papillomavirus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Deltapapillomavirus"
2115;"NC_014083.1";"Torque teno virus 25";"Viruses";NA;NA;NA;NA;NA;NA;"Anelloviridae";NA;"Alphatorquevirus"
2116;"NC_005264.1";"Psittacid herpesvirus 1";"Viruses";NA;NA;NA;NA;"Herpesvirales";NA;"Herpesviridae";"Alphaherpesvirinae";"Iltovirus"
2117;"NC_015285.1";"Prochlorococcus phage Syn33";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
2118;"NC_003794.1";"Strawberry mild yellow edge virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Alphaflexiviridae";NA;"Potexvirus"
2119;"NC_001504.1";"Melon necrotic spot virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Tombusviridae";"Procedovirinae";"Gammacarmovirus"
2120;"NC_001824.1";"Lymphocystis disease virus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Iridoviridae";"Alphairidovirinae";"Lymphocystivirus"
2121;"NC_014927.1";"Cyclovirus PKgoat21/PAK/2009";"Viruses";NA;NA;NA;NA;NA;NA;"Circoviridae";NA;"Cyclovirus"
2122;"NC_014928.1";"Cyclovirus PKgoat11/PAK/2009";"Viruses";NA;NA;NA;NA;NA;NA;"Circoviridae";NA;"Cyclovirus"
2123;"NC_029033.1";"Achromobacter phage phiAxp-1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2124;"NC_016993.1";"Magpie-robin coronavirus HKU18";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Cornidovirineae";"Coronaviridae";"Orthocoronavirinae";"Deltacoronavirus"
2125;"NC_009757.1";"Marine RNA virus JP-A";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Marnaviridae";NA;"Sogarnavirus"
2126;"NC_009758.1";"Marine RNA virus JP-B";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Marnaviridae";NA;"Locarnavirus"
2127;"NC_009799.3";"Corynebacterium phage BFK20";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2128;"NC_011532.1";"Lettuce yellow mottle virus";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Rhabdoviridae";NA;"Cytorhabdovirus"
2129;"NC_011536.1";"Imperata yellow mottle virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Solemoviridae";NA;"Sobemovirus"
2130;"NC_011537.1";"Scrophularia mottle virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Tymoviridae";NA;"Tymovirus"
2131;"NC_011540.1";"Hippeastrum latent virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Betaflexiviridae";"Quinvirinae";"Carlavirus"
2132;"NC_011541.1";"Narcissus yellow stripe virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
2133;"NC_011549.1";"Thrush coronavirus HKU12-600";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Cornidovirineae";"Coronaviridae";"Orthocoronavirinae";"Deltacoronavirus"
2134;"NC_011550.1";"Munia coronavirus HKU13-3514";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Cornidovirineae";"Coronaviridae";"Orthocoronavirinae";"Deltacoronavirus"
2135;"NC_009810.1";"Listeria phage A500";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2136;"NC_011552.1";"Peach mosaic virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Betaflexiviridae";"Trivirinae";"Trichovirus"
2137;"NC_009812.1";"Listeria phage B025";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Psavirus"
2138;"NC_009813.1";"Listeria phage B054";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
2139;"NC_009814.1";"Listeria phage P35";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2140;"NC_009815.1";"Listeria phage A006";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2141;"NC_030947.1";"Clostridium phage phiCT19406B";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
2142;"NC_015159.1";"Vibrio phage ICP3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Teseptimavirus"
2143;"NC_015317.1";"Sweet potato leaf curl South Carolina virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2144;"NC_015553.1";"Eragrostis minor streak virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
2145;"NC_015639.1";"Piscine myocarditis virus AL V-708";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Totiviridae";NA;NA
2146;"NC_010153.1";"Acidianus filamentous virus 7";"Viruses";NA;NA;NA;NA;"Ligamenvirales";NA;"Lipothrixviridae";NA;"Betalipothrixvirus"
2147;"NC_002510.1";"Cotton leaf curl Gezira virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2148;"NC_003540.1";"Chrysanthemum chlorotic mottle viroid";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
2149;"NC_004107.1";"Woodchuck hepatitis virus";"Viruses";NA;NA;NA;NA;NA;NA;"Hepadnaviridae";NA;"Orthohepadnavirus"
2150;"NC_009996.1";"Human rhinovirus C";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;NA
2151;"NC_010797.1";"Urochloa streak virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
2152;"NC_010807.1";"Salmonella phage phiSG-JL2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Teseptimavirus"
2153;"NC_005345.2";"Streptomyces phage VWB";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2154;"NC_009503.1";"Spodoptera litura granulovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Betabaculovirus"
2155;"NC_009452.1";"Acidianus bottle-shaped virus";"Viruses";NA;NA;NA;NA;NA;NA;"Ampullaviridae";NA;"Ampullavirus"
2156;"NC_004583.1";"Cotton leaf curl Kokhran virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2157;"NC_004800.1";"Goose hemorrhagic polyomavirus";"Viruses";NA;NA;NA;NA;NA;NA;"Polyomaviridae";NA;NA
2158;"NC_005068.1";"Cryptophlebia leucotreta granulovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Betabaculovirus"
2159;"NC_004654.1";"Tobacco leaf curl Japan virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2160;"NC_012799.1";"Triticum mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Poacevirus"
2161;"NC_001478.1";"Digitaria streak virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
2162;"NC_005083.2";"Vibrio phage KVP40";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Schizotequatrovirus"
2163;"NC_004052.1";"Ophiostoma mitovirus 4";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Narnaviridae";NA;"Mitovirus"
2164;"NC_003609.1";"Honeysuckle yellow vein mosaic virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2165;"NC_008521.1";"Gull circovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Circoviridae";NA;"Circovirus"
2166;"NC_004746.1";"Lactococcus phage 4268";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2167;"NC_001512.1";"O'nyong-nyong virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Togaviridae";NA;"Alphavirus"
2168;"NC_003896.1";"Tomato leaf curl virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2169;"NC_001829.1";"Adeno-associated virus - 4";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Parvovirinae";NA
2170;"NC_013443.1";"HMO Astrovirus A";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;NA
2171;"NC_001479.1";"Encephalomyocarditis virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;NA
2172;"NC_004287.1";"Bombyx mori densovirus 5";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Densovirinae";NA
2173;"NC_005842.1";"Tomato leaf curl Iran virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2174;"NC_001544.1";"Ross River virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Togaviridae";NA;"Alphavirus"
2175;"NC_003899.1";"Eastern equine encephalitis virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Togaviridae";NA;"Alphavirus"
2176;"NC_003900.1";"Aura virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Togaviridae";NA;"Alphavirus"
2177;"NC_001587.1";"Human papillomavirus type 34";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";"Firstpapillomavirinae";"Alphapapillomavirus"
2178;"NC_028998.1";"Phormidium phage MIS-PhV1B";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
2179;"NC_005286.1";"Pelargonium flower break virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Tombusviridae";"Procedovirinae";"Alphacarmovirus"
2180;"NC_001503.1";"Mouse mammary tumor virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Orthoretrovirinae";"Betaretrovirus"
2181;"NC_006144.1";"Simian adenovirus 3";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
2182;"NC_003410.1";"Canary circovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Circoviridae";NA;"Circovirus"
2183;"AC_000010.1";"Simian adenovirus 21";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
2184;"NC_005950.1";"Snow goose hepatitis B virus";"Viruses";NA;NA;NA;NA;NA;NA;"Hepadnaviridae";NA;"Avihepadnavirus"
2185;"NC_029006.1";"Clostridium phage phiCT19406C";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2186;"NC_003536.1";"Clover yellow vein virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
2187;"NC_001748.1";"Papaya mosaic virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Alphaflexiviridae";NA;"Potexvirus"
2188;"NC_003376.1";"Garlic virus C";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Alphaflexiviridae";NA;"Allexivirus"
2189;"NC_001716.2";"Human herpesvirus 7";"Viruses";NA;NA;NA;NA;"Herpesvirales";NA;"Herpesviridae";"Betaherpesvirinae";"Roseolovirus"
2190;"NC_002604.1";"Botrytis virus F";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Gammaflexiviridae";NA;"Mycoflexivirus"
2191;"NC_005890.1";"Sheldgoose hepatitis B virus";"Viruses";NA;NA;NA;NA;NA;NA;"Hepadnaviridae";NA;"Avihepadnavirus"
2192;"NC_001511.1";"Ovine lentivirus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Orthoretrovirinae";"Lentivirus"
2193;"NC_012957.1";"Salivirus NG-J1";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;"Salivirus"
2194;"NC_001464.1";"Citrus exocortis viroid";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
2195;"NC_001510.1";"Minute virus of mice";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Parvovirinae";NA
2196;"NC_001959.2";"Norovirus GI";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Caliciviridae";NA;NA
2197;"NC_001662.1";"Aleutian mink disease virus";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Parvovirinae";NA
2198;"NC_001540.1";"Bovine parvovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Parvoviridae";"Parvovirinae";NA
2199;"NC_003613.1";"Iresine viroid 1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
2200;"NC_029032.1";"Phormidium phage MIS-PhV1A";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
2201;"NC_005983.1";"Blotched snakehead virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Birnaviridae";NA;NA
2202;"NC_006060.1";"Opuntia virus X";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Alphaflexiviridae";NA;"Potexvirus"
2203;"NC_003398.1";"Sugarcane mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
2204;"NC_006440.1";"Amasya cherry disease-associated mycovirus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Partitiviridae";NA;"Alphapartitivirus"
2205;"NC_001367.1";"Tobacco mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Virgaviridae";NA;"Tobamovirus"
2206;"NC_011920.1";"Rudbeckia flower distortion virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Caulimovirus"
2207;"NC_011811.1";"Erwinia phage phiEa21-4";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Ounavirinae";"Kolesnikvirus"
2208;"NC_014140.1";"Soybean mild mottle virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Begomovirus"
2209;"NC_001499.1";"Abelson murine leukemia virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Orthoretrovirinae";"Gammaretrovirus"
2210;"NC_001920.1";"Grapevine yellow speckle viroid 1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
2211;"NC_003826.1";"Tomato bushy stunt virus satellite RNA B1";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
2212;"NC_003689.1";"Cherry virus A";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Betaflexiviridae";"Trivirinae";"Capillovirus"
2213;"NC_016434.1";"Gordonia phage GTE5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2214;"NC_016435.1";"Gordonia phage GRU1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2215;"NC_009240.1";"Gryllus bimaculatus nudivirus";"Viruses";NA;NA;NA;NA;NA;NA;"Nudiviridae";NA;"Alphanudivirus"
2216;"NC_001699.1";"JC polyomavirus";"Viruses";NA;NA;NA;NA;NA;NA;"Polyomaviridae";NA;NA
2217;"NC_028958.1";"Clostridium phage phiCD146";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2218;"NC_029083.1";"Pseudomonas phage PaoP5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Pakpunavirus"
2219;"NC_014899.1";"Murine adenovirus 2";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
2220;"NC_001550.1";"Mason-Pfizer monkey virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Orthoretrovirinae";"Betaretrovirus"
2221;"NC_001902.1";"Methanobacterium phage psiM2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2222;"NC_003849.1";"Plantago asiatica mosaic virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Alphaflexiviridae";NA;"Potexvirus"
2223;"NC_005069.1";"Yersinia phage PY54";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2224;"NC_015668.1";"Cavally virus";"Viruses";"Riboviria";NA;NA;NA;"Nidovirales";"Mesnidovirineae";"Mesoniviridae";"Hexponivirinae";"Namcalivirus"
2225;"NC_006556.1";"Thermoproteus tenax spherical virus 1";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
2226;"NC_010799.1";"Oat dwarf virus";"Viruses";NA;NA;NA;NA;NA;NA;"Geminiviridae";NA;"Mastrevirus"
2227;"NC_015502.1";"Banana streak UA virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Badnavirus"
2228;"NC_015503.1";"Banana streak UI virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Badnavirus"
2229;"NC_015505.1";"Banana streak UM virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Badnavirus"
2230;"NC_015507.1";"Banana streak IM virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;"Badnavirus"
2231;"NC_000858.1";"Simian T-lymphotropic virus 1";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Orthoretrovirinae";NA
2232;"NC_012127.1";"Coleus blumei viroid 5";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
2233;"NC_001749.2";"Apple stem grooving virus";"Viruses";"Riboviria";NA;NA;NA;"Tymovirales";NA;"Betaflexiviridae";"Trivirinae";"Capillovirus"
2234;"NC_007058.1";"Staphylococcus phage ROSA";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Phietavirus"
2235;"NC_012699.1";"Calicivirus pig/AB90/CAN";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Caliciviridae";NA;NA
2236;"NC_013668.3";"Anguillid herpesvirus 1";"Viruses";NA;NA;NA;NA;"Herpesvirales";NA;"Alloherpesviridae";NA;"Cyprinivirus"
2237;"NC_010240.1";"Helicoverpa armigera granulovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Betabaculovirus"
2238;"NC_004010.1";"Potato virus V";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Potyvirus"
2239;"NC_001472.1";"Human enterovirus B";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;"Enterovirus"
2240;"NC_001886.1";"Wheat streak mosaic virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Potyviridae";NA;"Tritimovirus"
2241;"NC_003679.1";"Border disease virus X818";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Flaviviridae";NA;"Pestivirus"
2242;"NC_013691.1";"Pseudomonas phage LUZ7";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
2243;"NC_013692.1";"Pseudomonas phage LIT1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Litunavirus"
2244;"NC_010671.1";"Musca domestica salivary gland hypertrophy virus";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
2245;"NC_010806.1";"Rose spring dwarf-associated virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Luteoviridae";NA;"Luteovirus"
2246;"NC_010809.1";"Melon aphid-borne yellows virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Luteoviridae";NA;"Polerovirus"
2247;"NC_003990.1";"Avian encephalomyelitis virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;"Tremovirus"
2248;"NC_003629.1";"Pea enation mosaic virus-1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Luteoviridae";NA;"Enamovirus"
2249;"NC_013696.1";"Enterococcus phage phiEf11";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
2250;"NC_010810.1";"Human TMEV-like cardiovirus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;"Theilovirus"
2251;"NC_010817.1";"Bandicoot papillomatosis carcinomatosis virus type 2";"Viruses";NA;NA;NA;NA;NA;NA;"Papillomaviridae";NA;NA
2252;"NC_010820.1";"Simian foamy virus 3";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Retroviridae";"Spumaretrovirinae";NA
2253;"NC_002331.1";"Xestia c-nigrum granulovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Betabaculovirus"
2254;"NC_007556.1";"Adult diarrheal rotavirus strain J19";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Reoviridae";"Sedoreovirinae";"Rotavirus"
2255;"NC_007918.1";"His2 virus";"Viruses";NA;NA;NA;NA;NA;NA;"Pleolipoviridae";NA;NA
2256;"NC_011976.1";"Salmonella phage epsilon34";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Lederbergvirus"
